"source DREAL – 2014-04-01 Etablissements classés sur la CUS",,,,
"Nom établissement","Code postal","Commune","Régime","Régime Seveso"
"ICADE SIICINVEST (ex LOCINDUS Dieppe)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SIL FALA",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SITA Transit Déchets Place Lévy",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SITA Alsace VALOREST",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SNCF - UO Strasbourg Technicentre",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SOCIETE EUROPEENNE DE STOCKAGE D1",67000,"STRASBOURG","Autorisation","Seuil AS"
"SOCIETE EUROPEENNE DE STOCKAGE D2",67000,"STRASBOURG","Autorisation","Seuil AS"
"SOCOPA VIANDES",67000,"STRASBOURG","Enregistrement","Régime inconnu : "
"SOMES (ex SOGEMA Dunkerque)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SOPREMA",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SPA DE STRASBOURG",67000,"STRASBOURG","Autorisation","Régime inconnu : "
"SPIELMANN D",67000,"STRASBOURG","Autorisation","Non-Seveso"
"STANDART CARGILL",67000,"STRASBOURG","Autorisation","Non-Seveso"
"STRASBOURG BIOMASSE",67000,"STRASBOURG","Autorisation","Non-Seveso"
"STRASBOURG ENERGIE / DALKIA",67000,"STRASBOURG","Autorisation","Non-Seveso"
"SMA (Société des Malteries d'Alsace)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"STEF EUROFRISCHFRACHT (ex TFE, ex K5)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"TIMKEN (ex Fedex Logistique)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"TOTAL MARKETING SERVICES",67000,"STRASBOURG","Enregistrement","Non-Seveso"
"TREDI Strasbourg",67000,"STRASBOURG","Autorisation","Seuil AS"
"VERT MARINE (SERS) NOUVELLE PATINOIRE",67000,"STRASBOURG","Autorisation","Non-Seveso"
"WAGRAM TERMINAL PORTUAIRE (ex PRR port)",67000,"STRASBOURG","Autorisation","Seuil AS"
"RHENUS LOGISTICS (WINCANTON MONDIA)",67000,"STRASBOURG","Autorisation","Non-Seveso"
"RHENUS LOGISTICS (ex MONDIA, ex ATAC)",67000,"STRASBOURG","Autorisation","Non-Seveso"
