"Eckbolsheim","48.566666 ","48° 34’ 46” N ","7.683333 ","007° 41’ 18” E "
"Eguisheim","48.033333 ","48° 02’ 37” N ","7.300000 ","007° 18’ 24” E "
"Ensisheim","47.849998 ","47° 51’ 59” N ","7.350000 ","007° 21’ 11” E "
"Entzheim","48.533333 ","48° 32’ 07” N ","7.633333 ","007° 38’ 17” E "
"Epfig","48.349998 ","48° 21’ 35” N ","7.450000 ","007° 27’ 50” E "
"Erstein","48.416668 ","48° 25’ 22” N ","7.650000 ","007° 39’ 42” E "
"Eschau","48.483334 ","48° 29’ 19” N ","7.716667 ","007° 43’ 00” E "
"Fegersheim","48.483334 ","48° 29’ 29” N ","7.666667 ","007° 40’ 52” E "
"Fessenheim","47.900002 ","47° 54’ 56” N ","7.533333 ","007° 32’ 12” E "
"Fislis","47.500000 ","47° 30’ 19” N ","7.366667 ","007° 22’ 57” E "
"Forstfeld","48.849998 ","48° 51’ 31” N ","8.033333 ","008° 02’ 19” E "
"Friesen","47.549999 ","47° 33’ 38” N ","7.133333 ","007° 08’ 50” E "
"Gambsheim","48.683334 ","48° 41’ 35” N ","7.883333 ","007° 53’ 03” E "
"Geispolsheim","48.500000 ","48° 30’ 56” N ","7.633333 ","007° 38’ 49” E "
"Gerstheim","48.366669 ","48° 22’ 59” N ","7.700000 ","007° 42’ 11” E "
"Gertwiller","48.400002 ","48° 24’ 41” N ","7.466667 ","007° 28’ 07” E "
"Geudertheim","48.716667 ","48° 43’ 26” N ","7.750000 ","007° 45’ 19” E "
"Goxwiller","48.416668 ","48° 25’ 54” N ","7.466667 ","007° 28’ 58” E "
"Grendelbruch","48.483334 ","48° 29’ 35” N ","7.316667 ","007° 19’ 24” E "
"Grentzingen","47.549999 ","47° 33’ 52” N ","7.300000 ","007° 18’ 01” E "
"Griesbach–au–Val","48.033333 ","48° 02’ 03” N ","7.166667 ","007° 10’ 20” E "
"Gueberschwihr","48.000000 ","48° 00’ 16” N ","7.266667 ","007° 16’ 37” E "
"Guebwiller","47.900002 ","47° 54’ 43” N ","7.200000 ","007° 12’ 34” E "
"Gundershoffen","48.900002 ","48° 54’ 23” N ","7.650000 ","007° 39’ 35” E "
"Gunsbach","48.033333 ","48° 02’ 54” N ","7.166667 ","007° 10’ 36” E "
"Habsheim","47.716667 ","47° 43’ 49” N ","7.416667 ","007° 25’ 11” E "
"Haguenau","48.816666 ","48° 49’ 02” N ","7.783333 ","007° 47’ 19” E "
"Hangenbieten","48.549999 ","48° 33’ 35” N ","7.600000 ","007° 36’ 46” E "
"Hatten","48.900002 ","48° 54’ 09” N ","7.966667 ","007° 58’ 47” E "
"Hattmatt","48.783333 ","48° 47’ 29” N ","7.416667 ","007° 25’ 26” E "
"Hattstatt","48.000000 ","48° 00’ 42” N ","7.300000 ","007° 18’ 02” E "
"Heiligenberg","48.533333 ","48° 32’ 20” N ","7.383333 ","007° 23’ 26” E "
"Heiligenstein","48.416668 ","48° 25’ 21” N ","7.450000 ","007° 27’ 02” E "
"Heimsbrunn","47.716667 ","47° 43’ 38” N ","7.216667 ","007° 13’ 38” E "
"Herbitzheim","49.000000 ","49° 00’ 56” N ","7.083333 ","007° 05’ 06” E "
"Herrlisheim","48.716667 ","48° 43’ 52” N ","7.900000 ","007° 54’ 29” E "
"Herrlisheim–près–Colmar","48.016666 ","48° 01’ 11” N ","7.316667 ","007° 19’ 37” E "
"Hipsheim","48.466667 ","48° 28’ 02” N ","7.666667 ","007° 40’ 36” E "
"Hochfelden","48.750000 ","48° 45’ 37” N ","7.566667 ","007° 34’ 15” E "
"Hoenheim","48.616669 ","48° 37’ 30” N ","7.750000 ","007° 45’ 19” E "
"Holtzheim","48.549999 ","48° 33’ 38” N ","7.633333 ","007° 38’ 58” E "
"Hombourg","47.750000 ","47° 45’ 35” N ","7.500000 ","007° 30’ 22” E "
"Horbourg–Wihr","48.066666 ","48° 04’ 48” N ","7.383333 ","007° 23’ 43” E "
"Houssen","48.116669 ","48° 07’ 35” N ","7.366667 ","007° 22’ 44” E "
"Hunawihr","48.166668 ","48° 10’ 51” N ","7.300000 ","007° 18’ 44” E "
"Huningue","47.583332 ","47° 35’ 31” N ","7.583333 ","007° 35’ 04” E "
"Hunspach","48.950001 ","48° 57’ 13” N ","7.933333 ","007° 56’ 35” E "
"Hurtigheim","48.599998 ","48° 36’ 54” N ","7.583333 ","007° 35’ 22” E "
"Husseren–Wesserling","47.866669 ","47° 52’ 53” N ","6.983333 ","006° 59’ 09” E "
"Husseren–les–Châteaux","48.033333 ","48° 02’ 08” N ","7.266667 ","007° 16’ 54” E "
"Huttenheim","48.349998 ","48° 21’ 35” N ","7.566667 ","007° 34’ 47” E "
"Hégenheim","47.549999 ","47° 33’ 41” N ","7.516667 ","007° 31’ 37” E "
